Code,Area,Year,Income,Net additions,Persons per dwelling,Rent,Waiting_list,Income/Rent ratio
E09000026,Redbridge,2001,16972.8,693.1999999999971,2.5733297872340426,3499.0800000000004,5426,4.850646455639767
E09000027,Richmond upon Thames,2001,18584.8,264.8000000000029,2.23475641025641,3350.88,3383,5.546244568590937
E09000028,Southwark,2001,28147.6,421.1000000000058,2.399177570093458,3103.36,7191,9.070040214477212
E09000029,Sutton,2001,18106.4,33.39999999999418,2.326423076923077,3224.52,2432,5.615223351072408
E09000030,Tower Hamlets,2001,29047.2,1960.0,2.513625,3148.08,7566,9.226957383548068
E09000031,Waltham Forest,2001,17092.399999999998,417.3000000000029,2.4132065217391303,3472.56,8664,4.922132374962563
E09000032,Wandsworth,2001,19791.2,875.6000000000058,2.245801652892562,3345.6800000000003,3120,5.915449176251165
E09000033,Westminster,2001,24954.8,1910.699999999997,2.013158415841584,3255.2000000000003,8855,7.666134185303513
E09000001,City of London,2002,35339.200000000004,9.099999999999454,1.456,3052.4,623,11.577512776831346
E09000002,Barking and Dagenham,2002,20212.4,311.6999999999971,2.4109710144927536,3599.44,2668,5.615429066743716
E09000003,Barnet,2002,16718.0,1082.6000000000058,2.446961832061069,3604.64,7030,4.637911136757069
E09000004,Bexley,2002,17680.0,315.59999999999127,2.3817717391304347,3445.0,3487,5.132075471698113
E09000005,Brent,2002,18501.6,1018.0999999999912,2.620106796116505,3411.72,14746,5.4229538180155465
E09000006,Bromley,2002,9734.4,340.1999999999971,2.299751937984496,3574.48,3592,2.7233052080302587
E09000007,Camden,2002,25948.0,576.0999999999913,2.169914893617021,3510.0,8147,7.392592592592592
E09000008,Croydon,2002,19136.0,395.6000000000058,2.3788297872340425,3873.48,6890,4.940260437642636
E09000009,Ealing,2002,21148.4,332.6999999999971,2.5557190082644627,3456.44,8289,6.118549721678953
E09000010,Enfield,2002,18813.6,1142.9000000000087,2.462675438596491,3538.0800000000004,7264,5.317460317460316
E09000011,Greenwich,2002,18033.6,773.9000000000087,2.3070416666666667,3425.24,6876,5.264915743130408
E09000012,Hackney,2002,21788.0,1659.5565012377774,2.370348314606741,3257.8,8930,6.687948922585794
E09000013,Hammersmith and Fulham,2002,26202.8,321.3000000000029,2.2336233766233766,3228.16,6044,8.11694587628866
E09000014,Haringey,2002,17924.399999999998,821.6842980077781,2.3880212765957447,3338.92,12585,5.368322691169599
E09000015,Harrow,2002,19182.8,561.0999999999913,2.6214320987654323,3639.48,3992,5.270752964709244
E09000016,Havering,2002,9885.2,358.4693386773579,2.394191489361702,3514.16,1888,2.812962414915656
E09000017,Hillingdon,2002,20950.8,438.5,2.4955858585858586,3551.0800000000004,6041,5.899838922243373
E09000018,Hounslow,2002,22063.6,912.1999999999972,2.4929655172413794,3613.48,6369,6.105914520074831
E09000019,Islington,2002,30451.2,1728.300000000003,2.1442619047619047,3222.96,8161,9.448209099709583
E09000020,Kensington and Chelsea,2002,23030.8,146.6999999999971,1.9503214285714283,3033.16,8294,7.593005314589405
E09000021,Kingston upon Thames,2002,18330.0,247.59999999999852,2.375269841269841,3458.5200000000004,3971,5.299954894000901
E09000022,Lambeth,2002,22562.8,558.0,2.2565371900826445,3179.28,14228,7.096826954530584
E09000023,Lewisham,2002,18886.4,311.5,2.3271743119266053,3212.56,15368,5.87892521851732
E09000024,Merton,2002,17357.600000000002,-126.80000000000292,2.3526049382716048,3572.4,4361,4.858806404657933
E09000025,Newham,2002,19515.6,881.4000000000087,2.687178947368421,3504.28,13942,5.569075530494138
E09000026,Redbridge,2002,17425.2,818.1999999999971,2.571294736842105,3705.0,5671,4.703157894736842
E09000027,Richmond upon Thames,2002,18460.0,280.8000000000029,2.2207721518987342,3370.6399999999994,3763,5.476704720765197
E09000028,Southwark,2002,29348.8,927.0999999999912,2.3728611111111118,3225.04,6164,9.1002902289584
E09000029,Sutton,2002,19500.0,121.40000000000872,2.3239102564102563,3385.2,1653,5.760368663594471
E09000030,Tower Hamlets,2002,28048.8,1474.0,2.5247682926829267,3307.72,7837,8.479798773777707
E09000031,Waltham Forest,2002,17586.399999999998,290.3000000000029,2.4323478260869567,3528.2,10283,4.984524686809137
